name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;4.649378e-01;-1.312941e+01;2.425970e+01;2.950869e-02;-1.570987e-02;8.965112e-02;2.259275e+01;1.448165e+01;-1.217637e+00;-3.972690e+00;1.376408e+01;0;5.593825e-01;-4.421301e+00;7.918371e+00;2.495431e+01;3.844525e+02;1.893184e+03;4.053091e+00;1.156852e+03;-4.474038e+00;2.329941e+03;-1.554947e+01
'unknown';0.010000;4.437929e-01;-1.459599e+01;2.418653e+01;2.762843e-02;-1.662802e-02;1.682266e-01;2.222831e+01;1.637084e+01;-3.651427e-01;-2.334079e+00;1.330813e+01;0;8.849487e-01;-4.662341e+00;7.600475e+00;2.463982e+01;3.346082e+02;1.850469e+03;7.209259e+00;1.136227e+03;-1.065656e+00;2.335441e+03;-1.394388e+01
'unknown';0.020000;4.270189e-01;-1.514735e+01;2.389240e+01;2.499452e-02;-1.361719e-02;2.307518e-01;2.241768e+01;1.687234e+01;-8.187388e-01;-2.397232e+00;1.300934e+01;3.675207e-03;1.210515e+00;-5.519682e+00;5.635445e+00;2.537546e+01;5.502671e+02;1.568929e+03;7.090542e+00;1.522041e+03;-1.261289e+00;2.731136e+03;-1.208132e+01
'unknown';0.030000;4.160426e-01;-1.476849e+01;2.413396e+01;1.094815e-02;-1.253172e-02;1.869574e-01;2.216913e+01;1.705967e+01;1.630065e-01;-2.382112e-01;1.312965e+01;0;1.506351e+00;-5.571003e+00;1.678987e+00;2.577669e+01;7.234158e+02;1.295222e+03;7.364645e+00;1.890859e+03;-3.956616e+00;3.090323e+03;-1.106595e+01
'unknown';0.040000;4.242843e-01;-1.423490e+01;2.513636e+01;2.039674e-02;-1.334685e-02;1.954383e-01;2.306741e+01;1.667142e+01;-3.217046e-01;-3.164881e+00;1.310012e+01;7.295173e-02;1.476620e+00;-5.997186e+00;-1.861677e-01;2.669174e+01;9.824680e+02;1.031786e+03;-6.419486e+01;2.305599e+03;-7.231275e+01;3.491915e+03;-7.440256e+01
'unknown';0.050000;4.090672e-01;-1.400654e+01;2.553717e+01;4.286380e-02;-1.578427e-02;2.131016e-01;2.184201e+01;1.719296e+01;2.081510e-01;-4.375471e+00;1.293140e+01;7.295173e-02;1.446890e+00;-6.480127e+00;0;0;9.568665e+02;1.033972e+03;-6.834689e+01;2.226683e+03;-7.733094e+01;3.460402e+03;-7.937622e+01
'unknown';0.060000;3.970470e-01;-1.449112e+01;2.471004e+01;5.071115e-02;-1.655995e-02;2.147890e-01;2.244598e+01;1.784417e+01;-3.138890e-01;-6.584183e+00;1.293357e+01;7.295173e-02;1.446890e+00;-6.315347e+00;-7.645323e-01;2.611223e+01;9.751022e+02;1.126520e+03;-7.412988e+01;2.292745e+03;-8.221476e+01;3.488156e+03;-8.423434e+01
'unknown';0.070000;3.912302e-01;-1.659541e+01;2.488987e+01;3.731615e-02;-1.614740e-02;2.590775e-01;2.304078e+01;1.899425e+01;2.478141e+00;-3.304138e+00;1.313561e+01;7.295173e-02;1.446890e+00;-5.676193e+00;-1.112699e+00;2.638495e+01;9.525345e+02;1.223736e+03;-1.099206e+01;2.203389e+03;-2.270188e+01;3.377801e+03;-2.654292e+01
'unknown';0.080000;4.001465e-01;-1.658365e+01;2.502186e+01;6.928995e-03;-1.513933e-02;2.828145e-01;2.372006e+01;1.823005e+01;2.766442e+00;-3.976589e-01;1.328228e+01;7.295173e-02;1.446890e+00;-4.709589e+00;-3.854333e-01;2.754308e+01;9.548862e+02;1.225808e+03;-1.175490e+01;2.163283e+03;-2.179314e+01;3.350123e+03;-2.726881e+01
'unknown';0.090000;4.088877e-01;-1.804654e+01;2.571697e+01;-1.286394e-02;-1.853189e-02;2.842895e-01;2.422241e+01;1.986887e+01;5.565903e+00;1.530099e+00;1.328548e+01;7.295173e-02;1.446890e+00;-4.448238e+00;3.971670e+00;2.961014e+01;7.298481e+02;1.290671e+03;-6.619058e+00;1.816884e+03;-1.774098e+01;2.972440e+03;-2.586582e+01
'unknown';0.100000;4.140203e-01;-1.595275e+01;2.436897e+01;-3.950154e-03;-1.645843e-02;2.164008e-01;2.349229e+01;1.840250e+01;2.294038e+00;-6.965122e-01;1.312087e+01;6.541800e-02;1.647734e+00;-4.377170e+00;4.544019e+00;3.125152e+01;7.645996e+02;1.229675e+03;-4.041519e+00;1.872408e+03;-1.585713e+01;3.152987e+03;-2.380558e+01
'unknown';0.110000;3.984042e-01;-1.724935e+01;2.527442e+01;-1.188454e-02;-1.261180e-02;2.016699e-01;2.348328e+01;1.941902e+01;5.492247e+00;2.700915e+00;1.298347e+01;5.788426e-02;1.848579e+00;-4.057083e+00;2.779817e+00;3.082212e+01;8.214225e+02;1.189116e+03;-1.193723e+00;1.972953e+03;-1.582244e+01;3.191357e+03;-2.167882e+01
'unknown';0.120000;4.161530e-01;-1.601019e+01;2.695126e+01;-1.365663e-02;-8.464986e-03;2.358025e-01;2.362012e+01;1.725952e+01;2.684723e+00;3.482068e+00;1.278249e+01;5.041387e-02;1.797470e+00;-4.096096e+00;-1.001073e+00;2.981719e+01;1.019604e+03;1.037618e+03;-5.752078e+00;2.235527e+03;-1.804934e+01;3.510734e+03;-2.183942e+01
'unknown';0.130000;4.157053e-01;-1.731601e+01;2.860048e+01;-1.411496e-02;-9.738597e-03;2.590408e-01;2.425300e+01;1.785704e+01;4.928914e+00;4.901115e+00;1.277679e+01;3.836920e-02;1.621026e+00;-5.188879e+00;-9.582585e-01;2.765106e+01;1.016246e+03;1.105605e+03;-7.105627e+00;2.200299e+03;-1.964864e+01;3.401227e+03;-2.333414e+01
'unknown';0.140000;4.350600e-01;-1.664156e+01;2.762318e+01;-1.935006e-03;-1.463466e-02;2.566722e-01;2.534592e+01;1.642155e+01;2.438509e+00;2.186289e+00;1.345612e+01;2.632454e-02;1.444582e+00;-6.244818e+00;1.085249e+00;2.413559e+01;7.724741e+02;1.386640e+03;-8.132636e+00;1.841857e+03;-1.863758e+01;3.003644e+03;-2.407923e+01
'unknown';0.150000;4.344244e-01;-1.696251e+01;2.567040e+01;7.687770e-03;-1.960102e-02;2.515190e-01;2.564261e+01;1.649656e+01;1.241184e+00;-2.352079e+00;1.405968e+01;1.421653e-02;1.520091e+00;-6.153448e+00;2.062716e+00;2.372131e+01;7.885820e+02;1.439560e+03;-6.836582e+00;1.893577e+03;-2.014453e+01;3.135177e+03;-2.580086e+01
'unknown';0.160000;4.211648e-01;-1.402492e+01;2.255178e+01;3.296997e-03;-1.982687e-02;2.281669e-01;2.399842e+01;1.357280e+01;-3.028010e+00;-4.542499e+00;1.456015e+01;1.421653e-02;1.520091e+00;-5.732632e+00;2.702124e+00;2.348013e+01;6.126645e+02;1.468313e+03;-6.476989e+00;1.601263e+03;-1.844366e+01;2.770275e+03;-2.467403e+01
'unknown';0.170000;4.186257e-01;-1.353529e+01;2.140373e+01;2.383078e-03;-2.128667e-02;1.941523e-01;2.343451e+01;1.214763e+01;-4.666391e+00;-7.595313e+00;1.400010e+01;1.421653e-02;1.520091e+00;-5.574696e+00;1.224835e+00;2.548106e+01;7.502808e+02;1.286289e+03;-7.421408e+00;1.835610e+03;-1.959507e+01;3.118143e+03;-2.452015e+01
'unknown';0.180000;4.171720e-01;-1.399577e+01;2.301262e+01;-1.526844e-02;-1.772601e-02;2.030832e-01;2.370865e+01;1.246798e+01;-2.634391e+00;-2.516253e+00;1.331599e+01;1.421653e-02;1.520091e+00;-5.745729e+00;-8.312322e-01;2.467834e+01;7.271362e+02;1.237328e+03;-7.702935e+00;1.761896e+03;-1.819100e+01;3.002514e+03;-2.290822e+01
'unknown';0.190000;4.267957e-01;-1.449996e+01;2.396614e+01;-2.036983e-02;-1.618009e-02;2.237800e-01;2.423616e+01;1.292530e+01;-5.840169e-01;-8.305461e-01;1.287546e+01;1.421653e-02;1.520091e+00;-5.909961e+00;-4.184394e+00;2.394737e+01;6.683436e+02;1.357676e+03;-4.320755e+00;1.707512e+03;-1.697270e+01;3.017463e+03;-2.244381e+01
'unknown';0.200000;4.198521e-01;-1.389307e+01;2.305116e+01;-1.953164e-02;-1.446314e-02;2.250218e-01;2.342205e+01;1.428156e+01;-9.573439e-01;1.463792e+00;1.444175e+01;1.421653e-02;1.520091e+00;-5.004244e+00;-3.379408e+00;2.500467e+01;5.459589e+02;1.438665e+03;-1.004568e+00;1.455345e+03;-1.266624e+01;2.672707e+03;-2.078136e+01
'unknown';0.210000;4.121071e-01;-1.375813e+01;2.279423e+01;5.367012e-03;-1.364745e-02;2.396431e-01;2.304611e+01;1.462735e+01;-5.447433e-01;1.980274e-01;1.449773e+01;1.421653e-02;1.520091e+00;-4.991206e+00;-2.935914e+00;2.456392e+01;2.866195e+02;1.675281e+03;3.104497e+00;1.175785e+03;-8.070602e+00;2.291698e+03;-1.923980e+01
'unknown';0.220000;4.143457e-01;-1.546116e+01;2.492813e+01;1.455979e-02;-1.156170e-02;2.319933e-01;2.371435e+01;1.619050e+01;1.559244e+00;3.614937e+00;1.440312e+01;1.283982e-02;1.738134e+00;-4.536942e+00;4.157368e-01;2.444930e+01;2.592857e+02;1.634589e+03;3.229173e+00;1.202545e+03;-5.540785e+00;2.302505e+03;-1.827919e+01
'unknown';0.230000;4.244308e-01;-1.555874e+01;2.503079e+01;2.671849e-02;-1.392484e-02;3.003661e-01;2.403656e+01;1.540393e+01;-6.221457e-01;1.133408e+00;1.284689e+01;1.215146e-02;1.956177e+00;-5.079290e+00;7.704083e-01;2.290625e+01;2.505122e+02;1.625051e+03;2.238709e+00;1.206870e+03;-4.994304e+00;2.315491e+03;-1.916611e+01
'unknown';0.240000;4.283461e-01;-1.483451e+01;2.377606e+01;1.438457e-02;-1.641990e-02;2.563230e-01;2.342693e+01;1.388422e+01;-4.170363e-01;3.197792e-01;1.306789e+01;0;2.160897e+00;-5.032022e+00;2.570723e+00;2.506908e+01;5.372785e+02;1.510467e+03;-8.792152e-01;1.518149e+03;-9.480378e+00;2.669993e+03;-2.113136e+01
'unknown';0.250000;4.186276e-01;-1.262906e+01;2.036405e+01;-2.099703e-03;-1.939605e-02;2.472904e-01;2.166213e+01;1.064906e+01;-3.717250e+00;-4.260239e+00;1.318557e+01;1.423430e-01;2.147575e+00;-4.753545e+00;2.042327e+00;2.571265e+01;6.233425e+02;1.339223e+03;-2.897694e+00;1.541906e+03;-1.113274e+01;2.644182e+03;-2.056076e+01
'unknown';0.260000;4.152377e-01;-1.274401e+01;2.093232e+01;-1.062838e-02;-1.569954e-02;2.054939e-01;2.205310e+01;1.229092e+01;-2.200103e+00;-1.918182e+00;1.313740e+01;1.056196e-01;1.976442e+00;-4.434629e+00;2.057557e+00;2.491101e+01;8.565925e+02;1.204032e+03;-4.755384e+00;1.904175e+03;-1.347242e+01;3.091907e+03;-1.797605e+01
'unknown';0.270000;4.098006e-01;-1.351750e+01;2.262812e+01;-2.425179e-02;-1.605046e-02;2.282708e-01;2.185613e+01;1.284277e+01;-2.843311e+00;-8.703017e-01;1.315531e+01;5.990919e-02;1.818632e+00;-6.153699e+00;1.924164e+00;2.269437e+01;6.937921e+02;1.307687e+03;-7.007607e+01;1.531113e+03;-7.435566e+01;2.739574e+03;-7.683081e+01
'unknown';0.280000;4.068843e-01;-1.430708e+01;2.326742e+01;-3.212851e-03;-1.562457e-02;2.489315e-01;2.233060e+01;1.519791e+01;-1.039244e+00;2.401467e-01;1.488550e+01;3.217270e-02;1.660822e+00;-6.713861e+00;0;0;8.730790e+02;1.339175e+03;-7.058842e+01;1.832370e+03;-7.588331e+01;3.212451e+03;-7.633065e+01
'unknown';0.290000;4.056190e-01;-1.491817e+01;2.400741e+01;-5.547858e-05;-1.832882e-02;2.213176e-01;2.206165e+01;1.503051e+01;4.009778e-01;-1.540913e+00;1.493205e+01;2.766547e-02;1.529299e+00;-7.351798e+00;2.927790e-01;2.001709e+01;6.334193e+02;1.484919e+03;-6.644651e+01;1.474819e+03;-7.225724e+01;2.773734e+03;-7.500910e+01
'unknown';0.300000;4.213999e-01;-1.362813e+01;2.186542e+01;3.470493e-02;-1.728044e-02;2.371292e-01;2.275115e+01;1.420333e+01;-1.186884e+00;-1.368118e+00;1.479238e+01;1.724868e-02;1.290316e+00;-5.854450e+00;1.247427e+00;1.978278e+01;5.890128e+02;1.397208e+03;2.807793e+00;1.578256e+03;-5.999260e+00;2.720579e+03;-1.045034e+01
'unknown';0.310000;4.310200e-01;-1.273669e+01;2.215015e+01;3.515023e-02;-1.623935e-02;2.057151e-01;2.246325e+01;1.232866e+01;-1.066044e+00;-5.672622e-02;1.315820e+01;9.786667e-03;1.051332e+00;-6.567595e+00;2.900011e+00;1.957308e+01;2.829096e+02;1.729499e+03;7.572660e+00;1.202961e+03;-5.146615e-01;2.202171e+03;-9.134330e+00
'unknown';0.320000;4.378347e-01;-1.173813e+01;2.056298e+01;3.698557e-02;-1.687486e-02;2.211968e-01;2.148942e+01;1.032132e+01;-1.519124e+00;-9.168158e-01;1.324279e+01;0;7.657594e-01;-7.710513e+00;4.861769e+00;2.055720e+01;4.820837e+02;1.716268e+03;-6.128340e+01;1.527433e+03;-6.719100e+01;2.566345e+03;-7.324568e+01
'unknown';0.330000;4.167476e-01;-1.142738e+01;2.162693e+01;1.665892e-02;-1.345732e-02;1.954939e-01;2.090849e+01;1.038082e+01;-1.176787e+00;1.850594e-01;1.351052e+01;4.108568e-03;5.876481e-01;-8.215993e+00;0;0;4.901571e+02;1.667776e+03;-6.398764e+01;1.514843e+03;-6.938168e+01;2.673751e+03;-7.736353e+01
'unknown';0.340000;4.166265e-01;-1.200724e+01;2.256248e+01;4.972084e-03;-1.082446e-02;2.038963e-01;2.198860e+01;1.123489e+01;-1.929177e+00;4.072715e-01;1.362397e+01;0;4.095367e-01;-8.318271e+00;5.843896e-02;2.001418e+01;7.779741e+02;1.293602e+03;-6.841852e+01;1.849071e+03;-7.548493e+01;3.065914e+03;-8.049056e+01
'unknown';0.350000;4.142062e-01;-1.247928e+01;2.345092e+01;4.947375e-03;-9.506568e-03;1.998977e-01;2.267722e+01;1.038944e+01;-2.546591e+00;-4.191163e-01;1.335345e+01;0;4.095367e-01;-6.836251e+00;-1.313515e+00;1.990421e+01;7.397668e+02;1.146599e+03;-3.503107e+00;1.810811e+03;-1.451110e+01;3.025293e+03;-2.024459e+01
'unknown';0.360000;4.290594e-01;-1.187036e+01;2.182950e+01;2.690116e-02;-9.748952e-03;2.064709e-01;2.304183e+01;8.500746e+00;-3.391235e+00;-5.059469e-01;1.293234e+01;0;4.095367e-01;-5.681723e+00;-2.378200e+00;2.065586e+01;7.440622e+02;1.156793e+03;-3.992689e+00;1.814699e+03;-1.525100e+01;2.922893e+03;-1.987944e+01
'unknown';0.370000;4.150644e-01;-1.139666e+01;2.050919e+01;2.093612e-02;-1.127773e-02;1.902753e-01;2.139463e+01;8.050942e+00;-2.784774e+00;-1.378419e-01;1.254530e+01;0;4.095368e-01;-4.514829e+00;-2.731968e+00;2.052553e+01;5.475345e+02;1.272944e+03;-7.002410e+01;1.538181e+03;-7.669877e+01;2.611045e+03;-7.994796e+01
'unknown';0.380000;4.098544e-01;-1.133932e+01;2.089313e+01;3.051247e-03;-8.727931e-03;1.844000e-01;2.082012e+01;9.707699e+00;-1.080963e+00;5.033200e+00;0;0;0;0;0;0;6.101541e+02;1.385916e+03;-1.349395e+02;1.662490e+03;-1.376726e+02;2.796474e+03;-1.401939e+02
'unknown';0.390000;3.993807e-01;-1.137078e+01;2.003187e+01;-2.345526e-02;-8.681559e-03;1.760665e-01;1.921163e+01;1.075874e+01;1.637456e-01;4.706752e+00;0;0;0;0;0;0;5.794124e+02;1.580543e+03;-1.304909e+02;1.612214e+03;-1.334561e+02;2.813310e+03;-1.379436e+02
'unknown';0.400000;4.206364e-01;-1.348114e+01;2.253983e+01;-2.123075e-02;-8.614232e-03;2.380823e-01;2.152296e+01;1.315129e+01;1.342574e+00;5.529419e+00;1.371704e+01;0;0;-6.294802e+00;5.580827e+00;2.455013e+01;5.447213e+02;1.624056e+03;-6.161773e+01;1.591491e+03;-6.745275e+01;2.781412e+03;-7.642866e+01
'unknown';0.410000;4.275377e-01;-1.118685e+01;2.100420e+01;4.518654e-03;-1.056337e-02;2.996677e-01;2.173841e+01;1.117595e+01;-2.177240e+00;1.373850e+00;1.358439e+01;0;0;-5.869744e+00;5.309710e+00;2.379450e+01;2.346698e+02;1.847699e+03;6.151033e+00;1.121165e+03;-2.384939e+00;2.261519e+03;-1.608765e+01
'unknown';0.420000;4.318293e-01;-1.186079e+01;2.221370e+01;1.739012e-02;-1.150893e-02;3.063121e-01;2.221967e+01;1.262981e+01;-1.605502e+00;-7.692559e-01;1.344504e+01;0;2.920863e+00;-6.186586e+00;4.084428e+00;2.308544e+01;2.516231e+02;1.601243e+03;1.216415e+00;1.188409e+03;-7.681021e+00;2.379509e+03;-2.001898e+01
'unknown';0.430000;4.244327e-01;-1.030908e+01;2.000508e+01;2.166331e-02;-1.530163e-02;2.438627e-01;2.050755e+01;1.114900e+01;-5.136416e+00;-5.481263e+00;1.419500e+01;0;2.570768e+00;-6.458166e+00;2.447010e+00;2.152281e+01;3.043401e+02;1.491638e+03;-2.732720e+00;1.262460e+03;-1.159095e+01;2.486400e+03;-2.183403e+01
'unknown';0.440000;4.247017e-01;-1.255853e+01;2.146404e+01;-4.287938e-03;-1.428153e-02;1.893909e-01;2.032778e+01;1.278377e+01;-2.974769e+00;-1.807710e+00;1.489717e+01;2.318022e-01;2.220674e+00;-6.541924e+00;1.087858e+00;2.009136e+01;4.295116e+02;1.232080e+03;-4.996856e+00;1.419825e+03;-1.412964e+01;2.550046e+03;-2.164454e+01
'unknown';0.450000;4.414439e-01;-1.287901e+01;2.172818e+01;-1.492414e-02;-1.387260e-02;1.792495e-01;2.100087e+01;1.291301e+01;-2.990395e+00;-1.088157e+00;1.559994e+01;2.318022e-01;1.870579e+00;-6.338719e+00;1.769777e-01;1.879866e+01;4.215666e+02;1.310155e+03;-7.057134e+01;1.375203e+03;-7.637744e+01;2.507087e+03;-8.076965e+01
'unknown';0.460000;4.561614e-01;-1.208133e+01;1.991878e+01;-3.757482e-03;-1.411069e-02;2.102507e-01;2.083252e+01;1.062161e+01;-2.244440e+00;8.372174e-01;0;0;0;0;0;0;4.078018e+02;1.314386e+03;-1.354954e+02;1.348338e+03;-1.384709e+02;2.398680e+03;-1.404695e+02
'unknown';0.470000;4.535647e-01;-9.483849e+00;1.804898e+01;4.038742e-03;-1.279227e-02;2.059224e-01;1.967989e+01;8.036101e+00;-2.685356e+00;1.600570e+00;0;0;0;0;0;0;4.047842e+02;1.411991e+03;-201;1.241729e+03;-201;2.330827e+03;-201
'unknown';0.480000;4.389879e-01;-7.892429e+00;1.693881e+01;4.957455e-04;-1.201646e-02;1.883023e-01;1.754393e+01;4.233778e+00;-3.634713e+00;1.829412e+00;0;0;0;0;0;0;4.454939e+02;1.290498e+03;-201;1.294279e+03;-201;2.312775e+03;-201
'unknown';0.490000;4.384617e-01;-7.935413e+00;1.865263e+01;-9.364790e-03;-8.186520e-03;1.740246e-01;1.683334e+01;4.585826e+00;-2.551614e+00;1.953467e+00;0;0;0;0;0;0;3.888755e+02;1.425149e+03;-201;1.288535e+03;-201;2.444107e+03;-201
'unknown';0.500000;4.719984e-01;-1.025539e+01;1.969460e+01;2.477831e-03;-1.024678e-02;1.961735e-01;1.779075e+01;6.180399e+00;-3.638914e+00;1.045943e+00;0;0;0;0;0;0;4.383591e+02;1.461919e+03;-201;1.516359e+03;-201;2.701777e+03;-201
'unknown';0.510000;5.676430e-01;-8.581853e+00;1.471106e+01;1.714756e-02;-1.215996e-02;2.417311e-01;1.466906e+01;1.084361e+01;-4.549901e+00;-2.486500e+00;0;0;0;0;0;0;4.014180e+02;1.497349e+03;-201;1.556963e+03;-201;2.846624e+03;-201
'unknown';0.520000;5.974108e-01;-8.179364e+00;1.110601e+01;2.564827e-02;-1.252367e-02;2.530091e-01;1.363272e+01;1.296138e+01;-5.185526e+00;-3.674797e+00;0;0;0;0;0;0;6.643430e+02;1.417501e+03;-201;1.784046e+03;-201;3.164229e+03;-201
'unknown';0.530000;6.084259e-01;-8.147372e+00;9.586864e+00;1.860498e-02;-1.474864e-02;2.327617e-01;1.361527e+01;1.371521e+01;-1.479406e+00;-4.148229e+00;0;0;0;0;0;0;5.718547e+02;1.417524e+03;-201;1.625085e+03;-201;2.800213e+03;-201
'unknown';0.540000;5.640397e-01;-9.869564e+00;1.407761e+01;1.128640e-02;-1.439425e-02;1.980709e-01;1.783259e+01;1.043489e+01;7.003738e-01;2.984881e+00;0;0;0;0;0;0;5.773604e+02;1.404543e+03;-201;1.571589e+03;-201;2.642137e+03;-201
'unknown';0.550000;5.657641e-01;-9.605595e+00;1.454722e+01;1.028696e-02;-1.192810e-02;1.885935e-01;1.874696e+01;7.321148e+00;4.469187e+00;9.632980e+00;0;0;0;0;0;0;7.004390e+02;1.256730e+03;-201;1.635730e+03;-201;2.558820e+03;-201
'unknown';0.560000;5.860852e-01;-8.842813e+00;1.384746e+01;2.683695e-02;-9.764423e-03;2.022321e-01;1.801221e+01;5.798862e+00;6.339848e+00;1.162406e+01;0;0;0;0;0;0;6.834682e+02;1.178344e+03;-201;1.626551e+03;-201;2.647097e+03;-201
'unknown';0.570000;5.882048e-01;-7.697793e+00;1.143447e+01;4.349189e-02;-8.718926e-03;2.270741e-01;1.614917e+01;3.669035e+00;5.783394e+00;9.061839e+00;0;0;0;0;0;0;6.530463e+02;1.353166e+03;-201;1.655067e+03;-201;2.585952e+03;-201
'unknown';0.580000;6.428617e-01;-6.259940e+00;8.774077e+00;5.786296e-02;-9.955942e-03;2.540731e-01;1.406933e+01;1.443891e+00;4.534765e+00;5.348423e+00;0;0;0;0;0;0;6.488779e+02;1.369714e+03;-201;1.634987e+03;-201;2.506631e+03;-201
'unknown';0.590000;6.955457e-01;-3.236621e+00;4.250860e+00;5.842860e-02;-7.708034e-03;2.537774e-01;1.167100e+01;-2.410153e+00;3.292013e+00;5.457070e+00;0;0;0;0;0;0;9.805861e+02;1.231227e+03;-201;1.904289e+03;-201;2.829373e+03;-201
'unknown';0.600000;8.098652e-01;3.967184e-01;1.447070e+00;6.463323e-02;-9.968914e-04;2.881289e-01;8.871685e+00;-7.946756e+00;3.996629e+00;1.060898e+01;0;0;0;0;0;0;1.238216e+03;8.682725e+02;-201;2.115530e+03;-201;3.171937e+03;-201
'unknown';0.610000;8.964813e-01;3.156814e+00;-5.739219e-01;4.902424e-02;2.620479e-03;3.128866e-01;6.940084e+00;-1.040283e+01;3.426893e+00;1.599811e+01;0;0;0;0;0;0;1.120369e+03;7.271514e+02;-201;2.081656e+03;-201;3.186667e+03;-201
'unknown';0.620000;9.936829e-01;3.649029e+00;2.204103e+00;4.140892e-02;6.777318e-03;3.912302e-01;6.283621e+00;-1.003140e+01;3.966336e+00;1.939358e+01;0;0;0;0;0;0;1.053556e+03;6.066525e+02;-201;2.094375e+03;-201;3.198450e+03;-201
'unknown';0.630000;1.019623e+00;3.238371e+00;2.848858e+00;3.904037e-02;5.438225e-03;4.192279e-01;5.862813e+00;-8.964410e+00;3.602617e+00;1.722273e+01;0;0;0;0;0;0;1.057732e+03;6.819035e+02;-201;2.123444e+03;-201;3.219605e+03;-201
'unknown';0.640000;1.046604e+00;2.324160e+00;4.018709e+00;3.709242e-02;4.925695e-03;4.270157e-01;5.120770e+00;-7.292530e+00;5.113788e+00;1.336115e+01;0;0;0;0;0;0;8.184962e+02;9.812861e+02;-201;1.861349e+03;-201;2.936550e+03;-201
'unknown';0.650000;1.043455e+00;1.937230e+00;2.593300e+00;3.327597e-02;2.346664e-03;3.835620e-01;4.132531e+00;-6.331944e+00;3.612718e+00;1.008737e+01;0;0;0;0;0;0;8.791938e+02;1.024371e+03;-201;1.905380e+03;-201;2.995740e+03;-201
'unknown';0.660000;1.074870e+00;1.109168e+00;3.069797e+00;2.434983e-02;2.575312e-03;3.742767e-01;4.685702e+00;-3.891739e+00;6.528414e+00;9.366138e+00;0;0;0;0;0;0;8.615474e+02;9.541378e+02;-201;1.868776e+03;-201;2.948498e+03;-201
'unknown';0.670000;1.072561e+00;3.193838e-01;4.398691e+00;3.359403e-02;2.994627e-03;3.840084e-01;4.925024e+00;-1.898193e+00;6.829054e+00;1.158190e+01;0;0;0;0;0;0;1.202758e+03;5.986044e+02;-201;2.262014e+03;-201;3.312816e+03;-201
'unknown';0.680000;1.042815e+00;8.686286e-02;4.505232e+00;2.795027e-02;-4.709698e-05;4.015661e-01;4.455256e+00;-7.283064e-01;7.369299e+00;1.127567e+01;0;0;0;0;0;0;8.924651e+02;7.950874e+02;-201;1.948286e+03;-201;2.993075e+03;-201
'unknown';0.690000;1.143047e+00;-2.213118e+00;6.131626e+00;3.949647e-02;-5.850084e-03;6.162549e-01;5.608287e+00;-2.640848e-01;2.708714e+00;9.170175e+00;0;0;0;0;0;0;9.327212e+02;8.118264e+02;-201;1.941025e+03;-201;3.090473e+03;-201
'unknown';0.700000;1.132804e+00;-2.508448e+00;5.528644e+00;4.369865e-02;-6.866552e-03;7.852199e-01;7.943263e+00;-2.227644e+00;-1.038480e-01;6.505488e+00;0;0;0;0;0;0;8.757098e+02;9.935574e+02;-201;1.768065e+03;-201;2.973370e+03;-201
'unknown';0.710000;1.112675e+00;-3.242193e+00;5.371467e+00;6.294031e-02;-8.733531e-03;7.743096e-01;1.031058e+01;-3.310289e+00;-1.036139e+00;3.934791e+00;0;0;0;0;0;0;8.667380e+02;9.944977e+02;-201;1.825775e+03;-201;2.901036e+03;-201
'unknown';0.720000;9.033484e-01;-1.604672e+00;3.720819e+00;5.949679e-02;-5.894392e-03;5.421970e-01;9.525627e+00;-3.680943e+00;1.579231e+00;4.023682e+00;0;0;0;0;0;0;9.285770e+02;9.525612e+02;-1.381636e+02;1.937670e+03;-1.368508e+02;2.870934e+03;-1.389254e+02
'unknown';0.730000;8.017642e-01;-2.405108e+00;4.031550e+00;4.309507e-02;-9.749398e-03;3.330031e-01;1.060357e+01;-1.578865e+00;4.700375e+00;5.453502e+00;1.265528e+01;0;3.418339e-01;-5.732840e+00;4.440147e+00;1.035745e+01;6.736273e+02;1.071727e+03;-7.287977e+01;1.800641e+03;-7.320480e+01;2.587065e+03;-7.595530e+01
'unknown';0.740000;7.063038e-01;-3.317584e+00;6.164293e+00;2.460381e-02;-6.273575e-03;3.096685e-01;1.175559e+01;-9.813714e-01;6.337705e+00;8.229827e+00;1.268868e+01;0;5.368962e-01;-5.277348e+00;4.266151e+00;1.235950e+01;6.961580e+02;9.827903e+02;-7.980601e+00;1.753886e+03;-1.024622e+01;2.650437e+03;-1.561360e+01
'unknown';0.750000;6.403617e-01;-5.912542e+00;1.125924e+01;-2.179267e-03;-1.138208e-02;2.877572e-01;1.644495e+01;1.238998e+00;5.899783e+00;9.665161e+00;1.289972e+01;8.154858e-02;7.319584e-01;-4.500376e+00;4.563165e+00;1.368534e+01;3.971536e+02;1.183013e+03;-5.413033e+00;1.424811e+03;-1.302726e+01;2.382809e+03;-1.650383e+01
